[2018-12-02 10:17:46:0522] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0532] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0532] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0532] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0532] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0542] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0542] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0542] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0542] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0552] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0552] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0552] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0552] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0562] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0562] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0562] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0562] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0572] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0572] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0572] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0572] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0582] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0582] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0582] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0582] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0592] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0592] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0592] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0592] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0602] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0602] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0602] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0602] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0612] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0612] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0612] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0612] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0622] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0622] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0622] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0622] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0632] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0632] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0632] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0632] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0642] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0642] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0642] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0642] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0652] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0652] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0652] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0652] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0662] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0662] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0662] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0662] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0672] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0672] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
[2018-12-02 10:17:46:0672] |           NetUDP.cpp-L0708: sendto errror! [10049], preSend[12], actually send[-1]
[2018-12-02 10:17:46:0672] |   GigEVisionGVCP.cpp-L1513: gvcp UDP_Writen pre send len[12], IP[a9fe7b26], Port[3956], return[-1]!
